ID Race,Race,ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
1,"White",2018,"2018",86061,4781,"Placer County, CA","05000US06061","placer-county-ca"
1,"White",2018,"2018",71619,1525,"Riverside County, CA","05000US06065","riverside-county-ca"
1,"White",2018,"2018",74298,2710,"Sacramento County, CA","05000US06067","sacramento-county-ca"
1,"White",2018,"2018",63774,2240,"San Bernardino County, CA","05000US06071","san-bernardino-county-ca"
1,"White",2018,"2018",80232,1366,"San Diego County, CA","05000US06073","san-diego-county-ca"
1,"White",2018,"2018",149926,7646,"San Francisco County, CA","05000US06075","san-francisco-county-ca"
1,"White",2018,"2018",65706,3696.9999999999995,"San Joaquin County, CA","05000US06077","san-joaquin-county-ca"
1,"White",2018,"2018",71241,4123,"San Luis Obispo County, CA","05000US06079","san-luis-obispo-county-ca"
1,"White",2018,"2018",125437,6437,"San Mateo County, CA","05000US06081","san-mateo-county-ca"
1,"White",2018,"2018",79816,5369,"Santa Barbara County, CA","05000US06083","santa-barbara-county-ca"
1,"White",2018,"2018",122056,4286,"Santa Clara County, CA","05000US06085","santa-clara-county-ca"
1,"White",2018,"2018",95577,4737,"Santa Cruz County, CA","05000US06087","santa-cruz-county-ca"
1,"White",2018,"2018",57720,5084,"Shasta County, CA","05000US06089","shasta-county-ca"
1,"White",2018,"2018",89239,5074,"Solano County, CA","05000US06095","solano-county-ca"
1,"White",2018,"2018",83714,3036,"Sonoma County, CA","05000US06097","sonoma-county-ca"
1,"White",2018,"2018",60374,3302,"Stanislaus County, CA","05000US06099","stanislaus-county-ca"
1,"White",2018,"2018",60080,5124,"Sutter County, CA","05000US06101","sutter-county-ca"
1,"White",2018,"2018",50348,3121,"Tulare County, CA","05000US06107","tulare-county-ca"
1,"White",2018,"2018",82363,2413,"Ventura County, CA","05000US06111","ventura-county-ca"
1,"White",2018,"2018",70133,4992,"Yolo County, CA","05000US06113","yolo-county-ca"
1,"White",2018,"2018",49332,9012,"Yuba County, CA","05000US06115","yuba-county-ca"
2,"Black",2018,"2018",55824,4220,"Alameda County, CA","05000US06001","alameda-county-ca"
2,"Black",2018,"2018",20875,2319,"Butte County, CA","05000US06007","butte-county-ca"
2,"Black",2018,"2018",68496,8903,"Contra Costa County, CA","05000US06013","contra-costa-county-ca"
2,"Black",2018,"2018",47962,9351,"Fresno County, CA","05000US06019","fresno-county-ca"
2,"Black",2018,"2018",30222,15626,"Humboldt County, CA","05000US06023","humboldt-county-ca"
2,"Black",2018,"2018",36992,10408,"Kern County, CA","05000US06029","kern-county-ca"
2,"Black",2018,"2018",72677,52718,"Kings County, CA","05000US06031","kings-county-ca"
2,"Black",2018,"2018",61182,14353.999999999998,"Lake County, CA","05000US06033","lake-county-ca"
2,"Black",2018,"2018",48519,2028,"Los Angeles County, CA","05000US06037","los-angeles-county-ca"
2,"Black",2018,"2018",98750,48906,"Marin County, CA","05000US06041","marin-county-ca"
2,"Black",2018,"2018",27452,13453,"Merced County, CA","05000US06047","merced-county-ca"
2,"Black",2018,"2018",59575,11875,"Monterey County, CA","05000US06053","monterey-county-ca"
2,"Black",2018,"2018",80156,60390,"Napa County, CA","05000US06055","napa-county-ca"
2,"Black",2018,"2018",76167,9194,"Orange County, CA","05000US06059","orange-county-ca"
2,"Black",2018,"2018",104975,48567,"Placer County, CA","05000US06061","placer-county-ca"
2,"Black",2018,"2018",66006,7059,"Riverside County, CA","05000US06065","riverside-county-ca"
2,"Black",2018,"2018",52063,7774,"Sacramento County, CA","05000US06067","sacramento-county-ca"
2,"Black",2018,"2018",54321,4554,"San Bernardino County, CA","05000US06071","san-bernardino-county-ca"
2,"Black",2018,"2018",55810,4422,"San Diego County, CA","05000US06073","san-diego-county-ca"
2,"Black",2018,"2018",30650,12670,"San Francisco County, CA","05000US06075","san-francisco-county-ca"
2,"Black",2018,"2018",50032,13255,"San Joaquin County, CA","05000US06077","san-joaquin-county-ca"
