"","X","X2010.01.31","X2010.02.28","X2010.03.31","X2010.04.30","X2010.05.31","X2010.06.30","X2010.07.31","X2010.08.31","X2010.09.30","X2010.10.31","X2010.11.30","X2010.12.31","X2011.01.31","X2011.02.28","X2011.03.31","X2011.04.30","X2011.05.31","X2011.06.30","X2011.07.31","X2011.08.31","X2011.09.30","X2011.10.31","X2011.11.30","X2011.12.31","X2012.01.31","X2012.02.29","X2012.03.31","X2012.04.30","X2012.05.31","X2012.06.30","X2012.07.31","X2012.08.31","X2012.09.30","X2012.10.31","X2012.11.30","X2012.12.31","X2013.01.31","X2013.02.28","X2013.03.31","X2013.04.30","X2013.05.31","X2013.06.30","X2013.07.31","X2013.08.31","X2013.09.30","X2013.10.31","X2013.11.30","X2013.12.31","X2014.01.31","X2014.02.28","X2014.03.31","X2014.04.30","X2014.05.31","X2014.06.30","X2014.07.31","X2014.08.31","X2014.09.30","X2014.10.31","X2014.11.30","X2014.12.31","X2015.01.31","X2015.02.28","X2015.03.31","X2015.04.30","X2015.05.31","X2015.06.30","X2015.07.31","X2015.08.31","X2015.09.30","X2015.10.31","X2015.11.30","X2015.12.31","X2016.01.31","X2016.02.29","X2016.03.31","X2016.04.30","X2016.05.31","X2016.06.30","X2016.07.31","X2016.08.31","X2016.09.30","X2016.10.31","X2016.11.30","X2016.12.31","X2017.01.31","X2017.02.28","X2017.03.31","X2017.04.30","X2017.05.31","X2017.06.30","X2017.07.31","X2017.08.31","X2017.09.30","X2017.10.31","X2017.11.30","X2017.12.31","X2018.01.31","X2018.02.28","X2018.03.31","X2018.04.30","X2018.05.31","X2018.06.30","X2018.07.31","X2018.08.31","X2018.09.30","X2018.10.31","X2018.11.30","X2018.12.31","X2019.01.31","X2019.02.28","X2019.03.31","X2019.04.30","X2019.05.31","X2019.06.30","X2019.07.31","X2019.08.31","X2019.09.30","X2019.10.31","X2019.11.30","X2019.12.31","X2020.01.31","X2020.02.29","X2020.03.31","X2020.04.30","X2020.05.31","X2020.06.30","X2020.07.31","X2020.08.31","X2020.09.30","X2020.10.31","X2020.11.30","X2020.12.31","X2021.01.31","X2021.02.28","X2021.03.31","County","Zip","State","City","Population_density","Crime_rate_Per1000","School_ranking","crime_rate","label_density"
"1",0,1360248,1371500,1367034,1361617,1355836,1359737,1350814,1352028,1355050,1357467,1345246,1324915,1307680,1295608,1291779,1291437,1285861,1276696,1278042,1279045,1273932,1266850,1266738,1276037,1281603,1293825,1306397,1316797,1331233,1348873,1374957,1402682,1435454,1459243,1474723,1485395,1511770,1523685,1543086,1565299,1599074,1628980,1645835,1647254,1641966,1637314,1654306,1683670,1710348,1736469,1750773,1761528,1771627,1775873,1784528,1809978,1847863,1893958,1925291,1935065,1934462,1957904,1988544,2026045,2037546,2070389,2106870,2123875,2124694,2124036,2133419,2158133,2189406,2197652,2198807,2184580,2190236,2178476,2161144,2155091,2167313,2179699,2197492,2204730,2211552,2208107,2209165,2224664,2250690,2273809,2294250,2318787,2336879,2353689,2356337,2369312,2376811,2401287,2431335,2462833,2480481,2506144,2541309,2571857,2602667,2631670,2664748,2674137,2692300,2699330,2703370,2690045,2699962,2721500,2748892,2758610,2769712,2785559,2808519,2838348,2854351,2867927,2865503,2868234,2854440,2836336,2807463,2792238,2776001,2756297,2730469,2707075,2688144,2669748,2659924,"San Francisco County",94109,"CA","San Francisco",18132.6,53.03,2.5,1,1
"2",1,398115,396063,395565,397041,400088,398494,398359,396367,395630,394156,390941,388885,388177,388716,387068,385402,380495,380051,378052,377060,374632,372309,372095,370055,368412,366060,364778,364377,366856,368445,370331,371541,374625,378943,382496,388348,393733,402041,409628,417889,423352,429697,436065,444694,450761,455217,459150,461439,464122,463736,464863,465010,466895,467460,470573,471749,474240,475728,478245,480950,484058,487952,491745,493603,496474,499453,501998,504173,506555,510406,514998,520462,524372,527971,530752,536365,540165,544616,545975,549409,553570,559523,563193,566291,570963,575883,580159,583262,588135,592572,598303,603055,606617,608586,612421,616845,621968,627161,633752,638865,643363,647153,651197,653329,655191,657520,660162,661044,660846,658204,656046,656422,661212,666883,668430,668486,668680,670128,671766,676500,682212,688985,694710,700293,702885,705097,710528,718546,727126,735089,742620,748652,754558,761302,768925,"Los Angeles County",90250,"CA","Hawthorne",14252.6,29.86,2.2,2,1
"3",2,316435,314690,310917,307476,305356,301895,298806,293130,292972,291076,293551,291981,292166,294865,300740,306147,309806,307755,303093,299153,297421,298241,297367,298670,298313,298999,300066,302568,304230,306730,312119,316303,320959,326291,331333,334125,336074,340226,347735,356807,367171,379093,388093,398212,404154,409900,413698,419307,426677,431036,430177,428685,430564,436901,444919,447104,453847,457653,472690,484679,496815,504969,512699,516880,515489,507723,500807,502553,503116,509602,502794,500748,495881,496878,500534,505694,512662,522828,527901,530940,529316,528954,530643,532145,534344,537124,539648,543755,546410,546271,548320,551393,557764,560248,565308,570298,578399,584509,588549,588620,591326,594969,599410,598156,599145,599378,599400,595967,594836,592684,590664,588891,591177,592824,592807,590067,586772,585751,586772,591153,591235,591074,592042,595743,596325,597314,599300,606455,613067,619675,624758,629591,636837,646154,655950,"Contra Costa County",94565,"CA","Pittsburg",3927.7,34.99,0.666666666666667,1,3
"4",3,605970,605225,605009,606406,613634,612335,607943,598985,588396,580386,573169,574081,574558,576109,576040,575825,570975,569383,568656,575563,583384,589551,592419,593743,596735,599344,600531,602929,607393,615303,623640,623254,623715,627235,639005,651280,661853,676833,692813,709038,721461,732488,744459,760279,774939,784387,791429,795365,804537,809011,815946,821127,828338,834788,839547,846057,853021,865668,878406,892428,903806,916776,929864,940807,955821,970420,987714,1002276,1018326,1036560,1053311,1071907,1083079,1095933,1106073,1125359,1141418,1160379,1177570,1198513,1218281,1231266,1240177,1250367,1268676,1284060,1299984,1313277,1334158,1351274,1367407,1381732,1398166,1415897,1438884,1460770,1485449,1512343,1541798,1563019,1570466,1576292,1585687,1598905,1611489,1626917,1644499,1656350,1664288,1662898,1663614,1671575,1692410,1712602,1725628,1736972,1753658,1772312,1784697,1797704,1805970,1822740,1838906,1856151,1866779,1878293,1893900,1908833,1918952,1925416,1934178,1945332,1960984,1973954,1985115,"Los Angeles County",90046,"CA","Los Angeles",8335.9,21.28,2.21276595744681,3,1
"5",4,496872,498563,500502,502803,507965,508603,507297,503664,502299,500278,499579,495981,492076,487472,484254,478771,471880,465683,469548,476720,485138,485791,481384,478417,476378,477081,477891,482917,490776,500567,501507,503939,505018,515835,528504,542818,558308,569939,584262,599379,618334,634818,654048,667673,682095,689770,700178,710639,718346,727958,730753,731748,727570,724924,722810,724549,726096,732721,739742,746153,750319,755700,767392,780005,790399,799706,809013,820140,832627,840806,844289,849597,859298,870178,871496,874379,878848,885287,885770,884905,882863,888846,897316,902987,907334,910980,922089,928808,934497,942513,950710,957107,966952,975370,986602,1000304,1014327,1024429,1028363,1035349,1045254,1051427,1061920,1074399,1081429,1084445,1084225,1078529,1069144,1064666,1069317,1078556,1092601,1105516,1115493,1113737,1113550,1109200,1108100,1117219,1136526,1147511,1151245,1148297,1146841,1146530,1147188,1157335,1169142,1187083,1204079,1216006,1222751,1235760,1252920,"Alameda County",94501,"CA","Alameda",7378.7,22.36,3.83333333333333,3,1
"6",5,849079,857574,853700,858649,861281,865815,859606,861387,863330,863817,855878,843061,837640,831940,832092,829503,827268,821364,817522,808570,803512,802982,808076,812956,809672,813996,820216,827948,829869,836235,853002,880905,905791,918444,922477,928806,952008,965667,980039,989347,1014668,1039549,1055334,1059430,1062069,1072512,1090787,1116512,1133719,1149885,1160439,1175673,1191133,1198873,1209778,1216612,1226826,1236204,1253450,1262114,1264640,1278108,1300630,1329195,1331508,1342608,1354952,1371702,1386781,1398817,1404404,1408896,1422707,1429013,1424421,1400003,1397150,1391809,1387772,1384212,1392118,1404082,1420099,1427716,1431162,1424051,1421127,1430129,1446255,1459912,1463481,1464505,1459700,1463728,1469275,1486286,1497766,1517458,1543343,1576964,1595050,1618660,1650903,1688619,1711024,1717999,1710186,1698268,1692913,1691718,1687802,1669465,1665432,1662857,1661297,1644490,1638719,1655384,1677878,1699983,1707178,1714635,1710565,1708275,1702095,1697191,1689250,1691096,1693147,1683391,1675172,1666967,1668328,1666022,1671949,"San Francisco County",94110,"CA","San Francisco",18132.6,53.03,2.5,1,1
"7",6,756888,755997,757899,762214,772432,771960,770574,766403,764710,762826,755664,751336,746922,745903,742653,740080,733940,731842,729693,724369,719287,712526,714773,715011,716726,716521,715175,715451,718152,723883,728205,731770,736126,747615,756313,766606,773367,787590,803797,820816,834452,845491,859651,880160,898723,908542,914011,917611,924718,923445,922010,919558,920349,922979,927035,923199,918747,916037,923077,930324,940109,950588,962734,969850,979455,988775,992378,997960,1003465,1015456,1023217,1034705,1042698,1055365,1065340,1080556,1091495,1102140,1122455,1146601,1172510,1186130,1193360,1201561,1212957,1222045,1229310,1235072,1246203,1256694,1259924,1263065,1271336,1290337,1317669,1337691,1353053,1367124,1386067,1404678,1415858,1424274,1431090,1434820,1433642,1433951,1433290,1431776,1429731,1422846,1415224,1413343,1425882,1441412,1440117,1436115,1433105,1447939,1460760,1478423,1490805,1506770,1522433,1535293,1537930,1539263,1555432,1574474,1593270,1594024,1594261,1591667,1593787,1595240,1595520,"Los Angeles County",90034,"CA","Los Angeles",8335.9,21.28,2.21276595744681,3,1
"8",7,382722,381966,382596,380740,380207,379671,379636,377263,372430,367693,365001,365654,364218,360710,355229,351733,346869,342571,339955,339634,340403,338935,336788,333538,332874,333451,335906,337081,338911,339906,342334,345911,351235,357850,362917,368559,374711,382681,390786,400488,411834,423596,434500,440653,445821,449294,456023,462912,466328,467074,465972,464404,461890,460585,457391,458068,458031,460412,460866,459290,460351,462787,466574,469934,471642,472681,475151,476937,479489,481903,484303,489390,492413,494048,495007,497616,501983,504317,506024,508935,512367,515196,518315,519179,522213,525782,530675,533264,534872,538912,542502,544718,546355,549045,551456,554590,557598,561939,564205,565577,568069,571538,575981,578862,578912,578112,577373,578655,579029,578045,577723,580513,585956,591182,593129,592803,593055,593012,595801,597095,600340,601535,605562,609035,611450,611750,614662,620777,628338,636772,643345,650453,656950,666192,673949,"Sacramento County",95630,"CA","Folsom",3341.2,17.8,3.66666666666667,4,3
"9",8,273906,273227,273312,273843,275815,274868,274954,273486,272941,272214,271086,270335,269551,269365,267691,266545,263414,263603,262670,261997,259618,257745,257724,257163,256873,256061,255877,256267,257860,259540,260519,262177,264689,269111,272398,277129,280734,286859,293005,299867,305730,311601,318785,326324,332585,335883,338861,340516,343521,343719,344496,343837,344360,344648,345888,345757,346048,347064,349491,352060,355235,358889,362134,363756,365876,367511,368974,370588,372986,375711,378230,381681,383733,386539,388998,394282,398020,402000,403979,407085,410748,415287,417752,419162,421709,424192,426775,427959,430760,433461,437291,440721,443638,445663,450019,454739,459200,463211,467356,470991,474004,476874,479498,480415,480239,480314,480029,479561,478636,476519,474730,475673,479657,484353,485514,485659,485999,488431,490941,494260,497275,501690,507212,512262,514988,516402,520782,527058,533959,539332,544431,548993,554197,559200,563341,"Los Angeles County",90805,"CA","Long Beach",9366.1,26.4,2.21428571428571,2,1
"10",9,305093,303419,303408,304242,307879,307585,308014,305708,304973,303352,300797,298605,297125,297422,296202,295339,292257,291754,290406,289922,288504,286877,286962,286703,287093,286543,286247,286298,287538,288982,290965,292384,294366,297546,300467,304492,307002,312132,317284,324012,329438,335463,341150,348086,353928,358384,362158,364803,368913,370247,372351,372520,373858,374195,375582,376413,377479,378862,380922,382909,385473,388561,391956,393434,395532,397465,399472,401150,403095,405719,408380,412424,414968,417688,418808,422587,425282,428416,430438,433562,437680,441452,443536,444615,446948,449143,451835,453661,456912,459827,463359,466080,468200,469734,473216,476743,480136,483935,487862,490979,493166,495676,497997,498654,497973,497697,497611,497125,496491,493933,491853,491916,495018,498438,499022,498969,499643,501218,502786,505685,508701,513308,518266,523200,525895,527816,532229,538317,544777,550643,556193,561044,566076,571001,575685,"Los Angeles County",90650,"CA","Norwalk",11004,18.73,2,4,1
"11",10,234669,231594,230256,231482,233885,234111,234357,233550,233443,232870,231594,230957,231452,232981,232067,230044,226541,226116,225988,225915,224618,223215,223483,223457,223839,223258,223877,224365,226328,227958,230194,231572,232813,235109,237716,241508,243813,248250,252186,257939,261677,266017,269823,275268,280393,283842,286206,287748,290850,292265,293931,293892,295188,295596,297501,298605,300569,302295,304682,306586,308925,311555,314949,317758,320809,323654,325598,327636,329313,332149,335034,338893,341608,344334,346108,349373,352277,355734,358472,361711,365627,369997,373041,375896,379322,382704,385950,388445,392221,395980,400079,403685,406597,409302,413475,417671,421496,425757,430435,434877,437523,439434,440981,441946,443466,444977,446474,446918,447991,447166,446721,446955,450770,455263,457310,458624,459680,462543,465965,470883,475785,482324,488306,494794,498301,501966,507850,514801,521848,527497,532376,536576,540533,544127,547961,"Los Angeles County",90044,"CA","Los Angeles",8335.9,21.28,2.21276595744681,3,1
"12",11,491162,489632,488473,492313,494826,496314,492013,488921,485599,482823,477848,473617,471860,471210,469559,465298,459858,457849,457625,456639,452377,449564,448813,449539,446857,443483,441938,441551,443647,444441,448977,454312,460646,465440,468816,472397,480317,491167,503132,513666,523586,532362,536822,540501,544844,549965,556068,561342,565086,565847,563572,562500,560685,560815,561170,562270,564282,566452,569434,571245,572603,574876,578155,582219,584781,587580,591285,595495,599376,602557,603363,607064,609660,613507,615686,616751,620294,621225,624763,627017,628955,630835,634799,637369,641549,643369,647334,650159,652815,657226,659420,662097,665261,668763,672838,677328,681231,685631,688412,693456,697819,703858,707133,708599,707256,707490,707617,706612,704204,702146,701287,701723,705303,708605,712815,714495,718385,720543,722318,723631,728046,733506,739895,744272,746937,748376,751245,757306,763212,769913,777033,785312,792194,798437,804103,"Orange County",92683,"CA","Westminster",9182.2,23.97,4,2,1
"13",12,440184,440579,444771,450907,457121,460930,462672,463937,465244,465120,461942,460173,459596,462062,460896,456876,453034,449590,446669,442934,440209,437231,436632,434575,432534,428269,426214,427232,427499,427536,426837,427951,430706,433847,437978,443494,450466,457435,464979,473055,484344,496697,510399,522365,533866,544984,554274,562444,569891,578688,585374,588206,589679,589981,590749,592330,592025,593513,592906,594127,593226,594828,596124,599116,599401,600598,601498,601399,603044,603225,607032,608788,611532,611172,612781,613895,617866,619883,623769,627138,630996,633535,634350,636523,639768,644602,647312,652039,653964,659530,660660,665020,666112,669953,675016,680348,684964,687554,690395,691686,695118,696836,698413,696838,697607,698090,697114,694834,693629,693184,693437,693683,697280,700048,701663,701428,701610,703225,705658,707381,708545,710962,714202,718655,719034,721003,725270,732359,739222,745152,751563,759731,768715,777523,786308,"San Bernardino County",91709,"CA","Chino Hills",1722.5,13.38,2.66666666666667,4,4
"14",13,431977,431048,427048,422221,418347,416914,415072,419019,427925,434626,436370,432004,425587,419091,416914,414041,411124,406688,401359,392528,383440,377413,376067,377988,379823,381270,380494,382240,385261,391215,401599,412423,419454,424510,428081,432947,438489,447476,459636,470597,480357,489142,495136,504087,513786,523767,531360,541112,550680,556474,558637,562232,566328,566905,565139,561232,561395,563699,568001,569256,571125,574804,579610,581768,584440,590119,599191,605670,610011,612558,616591,621296,625587,630319,633804,637661,640649,643180,645657,650139,655017,659574,663576,666791,669451,670103,671675,672969,675282,676811,677330,678116,680096,681272,682912,683556,687157,689484,694464,701236,706023,711115,713538,718141,718802,722854,724274,727712,728878,732632,733303,731304,729783,729411,728618,725054,722581,720034,719393,716073,711313,708134,711206,718391,724902,728319,734013,740954,748872,755678,762577,771348,782433,791864,797715,"Napa County",94558,"CA","Napa",4456.6,16.53,2.16666666666667,4,3
"15",14,326630,325389,324445,323736,325988,324646,324177,320539,318545,317290,317400,318292,320093,321958,321437,321262,319582,323312,325997,332888,337682,339788,340747,339641,341601,343118,347512,350876,354460,356328,360440,360615,362679,367161,376111,387654,395773,405000,412333,422766,433343,443493,452154,460479,467246,471075,473476,473414,475851,477345,480441,481821,484429,487989,492188,497110,502341,511204,518684,527064,535314,545438,554831,561041,566408,571426,579846,588893,598134,602150,606575,612621,617950,623644,629132,638981,646971,655485,655408,656485,656652,665238,671621,678884,687324,694159,700474,705607,714228,721013,730433,741087,754585,765115,779671,792867,805203,816376,827470,838589,847756,858763,872023,883815,893573,901780,907769,909952,911245,911078,911881,915755,925169,940610,950804,957519,959033,966350,975693,988276,997215,1008878,1019745,1029619,1032750,1032474,1035092,1041406,1052794,1060967,1067836,1074432,1084683,1094023,1103846,"Los Angeles County",90026,"CA","Los Angeles",8335.9,21.28,2.21276595744681,3,1
"16",15,326958,328235,330035,334052,335665,336244,334098,333274,331525,328679,325775,324931,323692,322480,320007,319384,318946,317807,315933,312736,311660,311423,311819,310162,310097,310981,313312,313767,315633,317856,320433,323634,327066,331423,335207,341285,345897,349421,354132,360570,367396,374955,382855,391386,395636,398194,400263,403159,408279,414963,416141,416011,413768,413975,415112,413922,415790,417669,422216,423696,422523,421794,426482,430532,434865,435673,437016,439372,442228,445750,448453,452846,460031,463133,462871,462938,464745,468653,470031,473564,476679,480165,482392,483986,483336,485922,490482,496469,501831,504575,507508,508140,510265,512407,514435,517647,523000,527675,529608,528456,527170,528591,530252,533241,534167,535573,535353,534096,531010,529674,530295,534418,538553,543447,547401,549317,549981,549483,549688,550135,552819,557028,562718,567513,572422,575477,579905,586356,595138,605244,616424,628520,640251,650788,660634,"San Diego County",91910,"CA","Chula Vista",5236.5,17.41,2.93333333333333,4,2
"17",16,169359,171006,172186,171881,171373,170645,168905,166957,164663,163986,163929,163072,160278,156323,153231,151235,149585,148711,148164,147344,146859,145685,145014,143756,143813,144773,145688,147142,148254,148873,149795,151338,153474,155317,156954,159171,160719,162585,164394,166856,169516,172682,176103,179016,181437,183784,185757,187812,190679,192993,195615,196261,197655,198048,197752,197824,197841,198932,199568,200146,200647,201272,201336,202325,202989,204472,205848,207145,208359,208759,209929,211338,212626,213213,213960,214920,216078,217232,218012,219239,221053,223363,225260,226800,227846,229796,231966,233726,234249,234842,237038,239371,240889,241945,242864,244405,246674,248617,249504,250638,253682,256612,257646,256959,256821,257581,259166,260100,260686,261290,262323,262839,263092,264576,265584,266538,266442,267511,268223,268748,269445,270677,272547,274541,275890,276751,278785,281895,285949,288977,292185,296058,300153,304219,308208,"Fresno County",93722,"CA","Fresno",4532.5,41.12,1.64705882352941,1,3
"18",17,200061,198354,199459,199838,201339,201408,204242,205752,207039,206581,206733,204873,201378,198628,196311,195687,193517,191676,189869,188649,187971,187018,184938,183246,182532,182952,182586,182205,182005,183743,184999,187924,189258,190573,192645,197035,202756,207419,213084,219162,225610,231278,236801,241315,246433,253544,260253,265673,269125,273999,277071,279620,283034,287194,291185,294017,297079,296900,297300,296944,298799,299856,302254,304387,305044,303644,302460,302728,304216,308910,312247,316392,318408,319632,320815,321957,325594,330750,336822,341756,344994,346352,349055,351388,353758,357945,361792,366619,368698,370323,370669,372603,375802,379450,382334,386010,392416,395704,397518,397337,399679,402497,405339,406846,407689,408259,409581,409940,406584,405380,405221,407862,408764,409777,412475,415122,416315,415807,414613,413784,415429,416788,419378,420427,422006,423689,424673,426423,429789,434998,440925,447410,453703,460313,466434,"Solano County",94533,"CA","Fairfield",2950.1,35.11,2.25,1,4
"19",18,249080,248035,247821,246088,245233,244611,244449,243019,242014,241571,241579,241839,240533,238223,235282,233022,229941,226766,224501,223862,222135,218949,215829,214184,213836,214051,214804,215352,216104,217017,218783,220779,223796,227932,232089,236468,241034,247036,253446,260923,269758,278612,285475,289176,292928,297007,302414,307421,310707,312287,312576,312354,311231,310669,313670,320411,326828,329966,331010,330362,331908,334632,338466,341685,344021,346149,346424,345571,345037,346939,349391,353674,356273,357414,358149,360146,363261,364972,366001,368122,370543,373178,375593,376450,378608,381539,385555,387715,389218,392198,394977,396621,397785,399869,402274,405656,408737,412224,413841,415318,417529,420245,422748,423951,423429,422451,421329,421407,420714,419589,418811,420793,424792,429030,430788,431058,431339,432095,434852,437203,440956,443407,447725,451063,453469,454534,458094,464070,471385,478793,484949,491079,496980,504711,511776,"Sacramento County",95608,"CA","Carmichael",NA,NA,2,5,5
"20",19,737378,736564,736003,739955,741895,741534,735165,730524,725504,719605,711861,706763,705450,706273,705334,701514,695771,692917,692962,692540,689488,687128,685261,684014,678416,672770,669341,668129,669845,670491,675300,680886,687923,694776,700844,706684,718638,733159,751508,766304,781547,795850,804473,812083,818647,826370,835225,844719,851048,853884,850240,848982,845977,845229,844746,844969,848024,850702,854896,856138,857437,859292,862407,866982,868975,871635,874516,878246,881752,885256,885829,890539,892269,896367,898601,899730,904080,905687,912897,917303,919022,918004,920645,922037,927631,929756,934827,936572,939228,942604,943504,944704,948495,953792,959694,965156,968523,971482,972522,977440,980906,986540,984097,980884,974502,973993,973302,971706,968629,965826,963977,964387,968540,971669,976035,976310,979288,978564,976156,973715,975221,980747,987349,991464,993238,994728,1000169,1009889,1019287,1029330,1041377,1054907,1067376,1077915,1088787,"Orange County",92677,"CA","Laguna Niguel",4411.7,8.52,3.21296296296296,4,3
"21",20,716229,715665,717130,719530,726108,723028,720692,715721,712128,706660,698354,693186,689390,688425,685757,682630,675336,674251,673763,673979,670454,666062,666315,665983,667045,666536,666658,668398,672526,678198,682792,685848,691818,703644,715749,729773,740622,756788,771260,788250,801759,813634,826461,846274,865723,877397,883948,887401,893008,892278,893933,895162,899400,906039,917247,919242,917785,916260,924895,933992,945639,958413,974477,983392,998733,1009756,1013125,1013219,1018052,1033851,1046245,1060692,1072518,1088143,1099534,1118960,1132316,1146430,1160482,1178398,1197876,1213549,1226764,1240859,1254438,1267024,1276791,1285431,1294756,1309745,1342261,1385543,1423875,1443796,1462298,1479761,1500653,1519749,1544027,1563723,1580754,1590004,1582966,1571954,1563392,1572441,1580861,1582973,1578191,1564822,1555713,1552738,1562556,1572887,1566431,1557178,1550093,1563077,1573176,1583472,1592732,1610302,1627740,1644341,1649996,1655272,1676466,1698051,1716592,1713878,1712825,1713550,1716499,1716223,1711333,"Los Angeles County",90066,"CA","Los Angeles",8335.9,21.28,2.21276595744681,3,1
"22",21,265305,264890,266256,268549,271257,273155,273576,273711,274040,273747,271570,270190,269693,270960,269659,267016,264577,262866,261644,259677,258593,257434,258394,257605,256779,254506,254500,256335,257964,258943,259493,261645,264180,266595,268653,272648,277367,282405,287231,292502,299172,306887,315812,323283,331567,340086,348126,354516,360218,366887,372277,375720,378602,380428,381581,382598,381977,382528,382263,383155,382856,383724,384968,387161,387987,389633,391305,393742,396495,398186,400586,402183,404470,404990,406335,407018,408946,409543,410965,411428,413315,414756,416030,417331,419464,422394,424148,427059,428460,432069,433525,437032,438110,440709,444070,448217,451661,453975,456401,458064,461100,463071,465861,466701,468779,469405,468903,467642,467351,467676,468319,468763,471460,473696,474732,474284,474028,475161,476920,478235,479256,481363,484646,488976,490503,492919,496749,502751,508948,514950,521383,528970,537115,544983,552557,"San Bernardino County",92336,"CA","Fontana",4820.5,18.14,2.11111111111111,4,2
"23",22,142847,143843,145198,145730,146565,147234,148499,148576,147413,145852,145185,145666,144980,143563,141008,139509,137597,135763,134009,132781,132215,130799,129111,127596,127138,127039,127437,127268,127315,127488,128181,130100,132435,135689,138081,140477,143366,147182,151800,156888,162435,167689,174066,178496,182957,185532,189511,193641,196079,197360,197041,196892,196480,197271,196114,196516,196396,198328,199496,199219,200325,202126,205073,207627,209530,210831,212605,214248,216600,219204,221937,226216,229510,231868,233956,236885,240620,243248,245769,248489,251208,253002,254834,255605,257408,259701,262448,263946,265049,267481,270231,272432,274057,276070,277795,280033,281950,284277,285676,286794,288545,290602,292862,293932,293896,293102,292454,292423,292247,292045,291997,293765,296530,299530,301000,301625,302376,302929,304810,306452,308947,310772,313826,316688,318736,319808,322245,326364,331363,337163,342144,347249,352146,357966,363379,"Sacramento County",95823,"CA","Sacramento",4930,31.23,2.20454545454545,2,2
"24",23,120891,120340,121105,121719,123155,124374,125431,126075,126360,126087,125247,124939,124550,124854,123734,122454,121122,120346,119608,118493,117674,117144,117630,117546,117196,116284,116295,117325,118058,118815,119465,121300,123282,125086,126565,128858,131855,134893,137960,140789,144465,148320,152579,156200,160090,164212,167840,170970,173860,177473,180542,182610,184438,185904,187514,189056,189742,190705,191381,192525,193000,193774,194803,196545,197674,199214,200673,201833,203534,204856,207216,208811,210675,211742,213233,214670,216821,218407,220453,222336,224463,226226,227472,229389,231762,234601,236527,238839,240352,242993,244149,246538,247836,250149,252762,255483,257719,259281,261004,262460,264579,266037,267778,268286,269341,269712,269774,269538,269806,270218,270886,271459,273328,274862,275876,276050,276363,277200,278185,279087,280009,281572,283614,286227,287375,289059,291568,295342,299233,303124,307310,312009,316925,321801,326629,"San Bernardino County",92345,"CA","Hesperia",1266.7,24.87,1.6,2,4
"25",24,317663,317880,318769,319667,320742,320502,319249,316097,312565,312014,311726,312128,311100,309289,306928,302598,299486,296442,295350,295011,296157,295987,296838,295000,293648,291142,291418,293985,296805,300338,303763,307406,309366,312526,315482,322304,329203,338851,347475,355527,363005,370062,378179,386042,393680,399048,401974,403863,407053,410851,412512,412396,411096,410513,408788,407195,407720,408816,411533,411788,410940,408454,407934,410208,413666,415926,416848,418484,419605,422103,423326,425319,427388,431311,435275,436682,436714,437831,441482,444761,446805,447731,449704,453299,458866,460650,460113,459172,462765,467554,470610,472681,475227,478380,481214,482856,481535,483668,488710,495071,496603,495937,494955,494087,493202,493627,495422,497567,501639,502769,502450,502142,505946,509485,512412,514355,515827,514901,514089,516014,519158,522902,524507,525799,525295,527126,530137,534377,539291,545776,551931,556445,560143,564879,572281,"Placer County",95747,"CA","Roseville",3055.9,23.8,3.66666666666667,2,4
"26",25,397255,395831,395569,398945,401539,403320,401308,399377,397189,394364,390607,386885,385496,384659,383619,380565,376853,374971,374774,373765,370891,369077,368816,370114,368981,367867,366785,366766,368344,369811,374308,380180,386562,392083,395607,399137,405850,414204,424938,434104,443440,451351,455134,458191,461217,465445,470891,475812,478924,479921,477569,476756,474896,474913,475500,476552,478850,480559,482877,484124,485518,487613,490814,494778,497247,499786,502713,506364,509867,513476,515343,519496,522177,526408,529257,530786,534625,536875,541663,545028,547017,548147,551072,552852,557251,559313,563131,565817,568509,572290,574244,575984,578832,582125,585818,590195,593249,596371,598139,601956,605323,609116,610130,610162,608812,609672,610179,609665,607622,606205,605905,606537,610259,614117,618644,620086,622843,623745,624629,624848,628029,632653,638494,643329,646294,648051,651397,658166,664702,671874,679432,688289,696164,703134,709366,"Orange County",92804,"CA","Anaheim",6942.3,23.62,2.5,2,2
"27",26,423152,424021,426444,431281,432871,431891,427916,425843,424713,421444,417381,414520,411793,409766,405729,403387,401171,399903,397666,394573,391813,390089,388961,386319,385766,385761,387446,387196,388323,389220,390332,392209,395464,400708,405599,413729,419421,424510,430980,439245,447925,456734,466924,477732,483916,487336,490056,492465,497624,503894,503685,502119,498819,499419,499645,497512,498610,500524,504694,505962,504328,504081,510154,515305,520302,520399,522754,525402,528241,530446,532375,536680,544381,546932,545611,545085,546523,551025,552033,556854,561165,566748,570246,573005,572288,575411,580493,587862,594827,598547,601741,601292,603713,606556,610485,614510,622056,628256,632243,631274,630340,632928,637619,643619,645639,646560,646516,646437,643385,641565,640786,645068,649328,654996,659042,660800,660246,660012,661460,663735,667851,672764,679580,685084,690160,692918,696672,702745,712544,723000,732936,742812,752701,762131,770675,"San Diego County",92126,"CA","San Diego",4208.9,19.59,2.98245614035088,3,3
