"","X","X2010.01.31","X2010.02.28","X2010.03.31","X2010.04.30","X2010.05.31","X2010.06.30","X2010.07.31","X2010.08.31","X2010.09.30","X2010.10.31","X2010.11.30","X2010.12.31","X2011.01.31","X2011.02.28","X2011.03.31","X2011.04.30","X2011.05.31","X2011.06.30","X2011.07.31","X2011.08.31","X2011.09.30","X2011.10.31","X2011.11.30","X2011.12.31","X2012.01.31","X2012.02.29","X2012.03.31","X2012.04.30","X2012.05.31","X2012.06.30","X2012.07.31","X2012.08.31","X2012.09.30","X2012.10.31","X2012.11.30","X2012.12.31","X2013.01.31","X2013.02.28","X2013.03.31","X2013.04.30","X2013.05.31","X2013.06.30","X2013.07.31","X2013.08.31","X2013.09.30","X2013.10.31","X2013.11.30","X2013.12.31","X2014.01.31","X2014.02.28","X2014.03.31","X2014.04.30","X2014.05.31","X2014.06.30","X2014.07.31","X2014.08.31","X2014.09.30","X2014.10.31","X2014.11.30","X2014.12.31","X2015.01.31","X2015.02.28","X2015.03.31","X2015.04.30","X2015.05.31","X2015.06.30","X2015.07.31","X2015.08.31","X2015.09.30","X2015.10.31","X2015.11.30","X2015.12.31","X2016.01.31","X2016.02.29","X2016.03.31","X2016.04.30","X2016.05.31","X2016.06.30","X2016.07.31","X2016.08.31","X2016.09.30","X2016.10.31","X2016.11.30","X2016.12.31","X2017.01.31","X2017.02.28","X2017.03.31","X2017.04.30","X2017.05.31","X2017.06.30","X2017.07.31","X2017.08.31","X2017.09.30","X2017.10.31","X2017.11.30","X2017.12.31","X2018.01.31","X2018.02.28","X2018.03.31","X2018.04.30","X2018.05.31","X2018.06.30","X2018.07.31","X2018.08.31","X2018.09.30","X2018.10.31","X2018.11.30","X2018.12.31","X2019.01.31","X2019.02.28","X2019.03.31","X2019.04.30","X2019.05.31","X2019.06.30","X2019.07.31","X2019.08.31","X2019.09.30","X2019.10.31","X2019.11.30","X2019.12.31","X2020.01.31","X2020.02.29","X2020.03.31","X2020.04.30","X2020.05.31","X2020.06.30","X2020.07.31","X2020.08.31","X2020.09.30","X2020.10.31","X2020.11.30","X2020.12.31","X2021.01.31","X2021.02.28","X2021.03.31","County","Zip","State","City","Population_density","Crime_rate_Per1000","School_ranking","crime_rate","label_density"
"761",760,660984,659853,658655,666941,671502,673853,666857,663038,658877,653998,646017,639421,639081,638812,637941,631887,625903,624171,624245,623823,619586,619060,620246,621895,618736,615267,614420,613582,615716,615408,620969,627675,636446,643517,647976,652478,662046,675027,691329,708880,723909,738995,750117,762151,771660,779003,788619,797993,804263,806068,800541,795361,791186,790382,788392,781520,777886,775736,778046,778748,782259,787825,795182,801471,804989,808182,812479,821267,829865,838540,839843,845216,846509,849437,849826,850322,852421,851449,852822,853052,851924,851157,854626,856042,860648,861518,866219,869168,874920,881327,886342,888755,893365,896414,901128,906087,910896,916619,919739,924152,927148,933335,936042,938007,935235,937250,937163,936860,932274,928110,925478,926905,932162,935106,937579,936896,938517,937463,935965,934303,935430,937571,940080,939994,937567,935035,935218,939248,943901,949129,955658,962947,970692,978226,986131,"Orange County",92606,"CA","Irvine",3705.5,12.53,4.14285714285714,4,3
"762",761,820574,822917,828437,829773,830443,821001,812294,808579,809928,811041,807068,801269,794719,792283,785997,781316,775440,777857,780402,779127,776069,771073,767518,761392,756734,751244,752324,755519,758918,757924,756849,762828,769644,780260,789382,801862,813009,827540,838639,850489,861667,877177,896236,909674,921232,928506,933805,939829,945196,950611,954111,954217,954316,952595,949277,943512,938886,937441,941582,944712,949028,952744,954466,957023,961554,965505,967249,970656,975001,978860,982687,987219,989736,987453,990165,995222,999401,1002603,1009823,1019340,1027627,1032969,1035962,1036999,1040547,1048355,1053389,1058562,1061839,1068287,1069954,1069980,1070445,1074471,1079962,1086735,1093680,1099459,1106238,1106459,1110411,1113154,1115913,1116108,1115135,1117249,1119203,1119589,1118609,1118708,1119740,1125867,1128621,1130290,1123902,1118738,1113049,1114136,1115685,1121424,1123648,1128623,1132152,1138848,1144591,1151558,1166043,1181624,1198663,1208921,1219372,1227919,1241040,1252661,1266130,"Ventura County",91361,"CA","Westlake Village",1630.1,20.47,3.5,3,4
"763",762,161902,163281,164053,165059,166910,167848,168339,167989,168580,167786,168197,167966,167731,166564,165989,165995,166080,164868,164082,164111,164053,164482,163850,163794,163103,162813,162506,162399,162312,163509,165252,168785,172233,174345,175243,176064,178981,182148,186150,190037,194337,198408,202342,204827,207012,210605,215658,220824,224671,228553,231334,233310,235241,237276,238858,239668,240606,241776,242939,243738,244671,245383,246212,247528,248442,249681,250643,252571,254758,256722,258060,259825,261517,263541,265358,267157,269115,270484,272859,274790,276131,277277,279074,281091,282637,283326,284939,286747,288912,291239,292828,295046,297546,300254,301976,303385,305011,308098,310663,313475,315961,318325,320717,322169,323883,324060,325517,325886,328284,329463,331053,331378,331515,332236,333152,334140,334164,336165,337077,339819,340662,342101,343083,344823,347641,350272,353185,356760,361334,365493,370549,375273,381029,387292,394500,"Riverside County",92551,"CA","Moreno Valley",3957.3,31.59,1.9,1,3
"764",763,578666,576665,576484,579003,587765,588006,586921,581572,577132,572147,566017,561872,559304,557882,554795,551514,543956,543190,543134,543540,540554,535653,535390,533080,533042,531576,530912,530702,532428,533843,535354,535695,539157,547143,555093,565609,571807,583245,593730,606536,615854,626640,637300,651516,662417,668919,671051,670643,673049,672723,674384,674590,676961,677509,680190,679288,679454,679379,684399,690259,698681,705486,711621,713375,717925,721660,725836,730016,735479,742011,748109,755453,758927,762613,766333,774675,779190,783303,782758,786603,791175,798516,800551,801668,805421,809588,812736,814322,819731,826416,834636,841015,846882,851560,859172,867583,874751,883340,892313,900612,907192,913662,919632,921277,919556,917988,919466,919418,920366,916295,912090,910769,915915,922493,921098,919124,918596,922388,924789,930247,938031,947786,957480,965257,968493,971139,980436,992875,1006281,1016775,1026636,1034924,1041345,1048991,1057430,"Los Angeles County",91201,"CA","Glendale",6473.5,15.59,2.33333333333333,4,2
"765",764,1529503,1533448,1560535,1568185,1574643,1560438,1555045,1555063,1564610,1570807,1556628,1539395,1526957,1519330,1510680,1504701,1492354,1477009,1460708,1454454,1449573,1440980,1449752,1453373,1455041,1446771,1449858,1468660,1499344,1532163,1565241,1599368,1626159,1652136,1670528,1697905,1729017,1757610,1784696,1806303,1825541,1848175,1857755,1850312,1841485,1849755,1859440,1884116,1908687,1948991,1958581,1963985,1961287,1972415,1998799,2032091,2072152,2106263,2150013,2175865,2185180,2191149,2224214,2247808,2298682,2323263,2352989,2367708,2390759,2396838,2392875,2388002,2407228,2414457,2420664,2440543,2434141,2437972,2437945,2465746,2476514,2489631,2497656,2515806,2526436,2548494,2562516,2581783,2596706,2624133,2640143,2668315,2706971,2766071,2828932,2896679,2964880,3033530,3092131,3126475,3174435,3215213,3258280,3262658,3247048,3224355,3198815,3156499,3098417,3043526,3011433,3020877,3030079,3021802,2997749,2967350,2970879,2963735,2972942,2978701,3014655,3058780,3108481,3132254,3145792,3170662,3209670,3267638,3304674,3347560,3376242,3413803,3433723,3444622,3441874,"Santa Clara County",94024,"CA","Los Altos",4673.5,10.64,5,4,2
"766",765,237259,236725,237857,237292,237027,236546,236565,235673,235871,236178,237201,238762,238302,236670,233651,232514,230679,228177,226074,226153,223967,220810,216787,215745,216437,217327,218538,218637,218689,219701,222910,224680,227085,228892,232744,235945,239036,243534,248872,255779,263983,272239,274335,274162,274406,278384,282755,286427,289400,290916,290857,289877,288106,286546,288865,294698,301762,306464,309630,311506,314151,317952,323055,328603,333232,337626,342265,346573,350061,353721,357403,363442,368405,371956,374433,378347,383920,388384,391984,396766,402594,409749,416258,420434,426144,433287,442736,449408,454944,462317,470325,477160,482466,486393,491176,497355,503925,510353,514661,518402,522910,527841,533807,539316,543621,546892,549210,553040,554260,554499,554654,560036,569161,578516,586114,591334,597423,602344,608757,613080,619373,622654,629523,634556,638732,639262,640786,645026,649730,656303,661951,668139,673969,682843,689391,"Sacramento County",95819,"CA","Sacramento",4930,31.23,2.20454545454545,2,2
"767",766,529396,526804,525817,527284,531727,529053,525703,518995,514846,510580,506479,503133,500214,498493,495710,492537,485811,483818,481277,480215,476565,473207,471444,469466,467979,465879,463916,462335,463894,465246,468548,471186,475599,481224,485492,491332,496172,506220,516729,529402,538475,548014,556988,567630,575506,580863,586679,590931,596828,596649,597540,596004,596417,595257,594757,593606,594662,596257,598494,599445,601169,603839,606620,606648,608486,610361,612961,614111,615284,616895,619115,623703,626375,630470,631645,636807,639232,643742,645380,649502,653716,659424,662311,664464,668067,670317,673917,676009,681219,684323,689745,693243,696642,697497,701364,705412,708670,712764,717813,722263,725062,727214,726740,724927,722172,721852,721427,720195,720058,716614,712446,709707,712309,717274,718750,718748,718156,720416,723130,728797,733942,741184,747127,753550,755855,758053,764228,772956,783109,790829,798126,803878,810150,816931,825682,"Los Angeles County",91307,"CA","Los Angeles",8335.9,21.28,2.21276595744681,3,1
"768",767,638597,639578,640872,644392,652221,652615,650983,643752,636123,628075,620030,616334,615114,616337,615436,614065,607950,607012,605406,605597,603170,602456,604837,604957,604234,603015,602843,603657,606312,609399,612066,612535,615712,621840,628821,638580,645352,656849,667666,681307,692006,702424,715043,731963,745760,751871,754508,754577,760770,761061,763485,761716,763517,765777,771492,771988,772588,773381,778889,782801,786084,790206,794075,794987,796515,796484,793356,790920,791214,795922,799356,804892,806387,810326,812439,818938,821893,825580,826381,830536,834668,839910,841255,843927,848701,850648,850981,851126,855823,860200,864689,869048,874228,877776,884202,888357,893925,899861,908675,915611,920713,925953,931580,932173,928991,926182,925601,923899,921094,915474,909735,908198,913775,920663,915887,909890,903960,908395,910762,916642,920489,927042,934727,941655,943183,943180,952397,965231,980104,987455,995208,1001506,1010165,1018765,1026782,"Los Angeles County",91775,"CA","San Gabriel",9748.9,13.73,3.25,4,1
"769",768,1097465,1112061,1110190,1111851,1105925,1107875,1103149,1109976,1117932,1129983,1133159,1122280,1106638,1087469,1083314,1082660,1084420,1076170,1074052,1070939,1070958,1070284,1074960,1081777,1085945,1100588,1114100,1130688,1146137,1167666,1191582,1216212,1239345,1253745,1260694,1268590,1294848,1311181,1332652,1346132,1366611,1384907,1398196,1405642,1406999,1411013,1426260,1452688,1467654,1479055,1476994,1476001,1488357,1500052,1518633,1532732,1553508,1577723,1603205,1614019,1617576,1636652,1673151,1719528,1734147,1751389,1776442,1805158,1832561,1848048,1861130,1877705,1898379,1901091,1887469,1863404,1855307,1838282,1808925,1779978,1760698,1754149,1747940,1741049,1740486,1734385,1732330,1723169,1726696,1729877,1735780,1744370,1756031,1761401,1768946,1771426,1765785,1770337,1777124,1797518,1803435,1824990,1838229,1853894,1844532,1840428,1827193,1814383,1821823,1823613,1828933,1816302,1820589,1819652,1821392,1815303,1806302,1802064,1798364,1820733,1840795,1853901,1847080,1836444,1822370,1813240,1804980,1800776,1809348,1812819,1819536,1807616,1789578,1777225,1777736,"San Francisco County",94105,"CA","San Francisco",18132.6,53.03,2.5,1,1
"770",769,416422,414939,417876,422595,426940,428934,429956,431444,433415,432747,427875,425091,423671,425871,423423,418837,415907,413953,411986,407576,404463,402722,403807,402966,402054,399389,399130,401063,402227,403115,403192,404896,407985,410899,414966,420497,427600,434683,442140,450717,461583,472926,485772,497256,509202,520266,529472,537241,544006,551476,557454,560114,561818,561778,562210,563670,563023,564201,563502,564430,563026,563980,565084,567523,567976,569924,571316,572344,574954,576835,581184,583144,586203,586639,588171,589475,592863,594774,597544,599336,601620,602840,603146,605341,609138,614336,617957,622733,624893,630135,632876,638601,640882,645000,650291,656257,660997,663699,665872,666989,670607,673140,675850,675803,677881,678856,677671,675062,673837,674053,675916,677716,682221,685726,687408,686933,686627,688259,691375,693665,695398,698600,702501,707965,709401,712098,717149,725166,733260,740578,748168,757587,767772,777248,786433,"San Bernardino County",91737,"CA","Rancho Cucamonga",4332.1,21.24,4,3,3
